district,location,rooms,area,floor,total_floors,area_per_room,actual_price,predicted_price,absolute_error,percentage_error
Qaradağ,Lökbatan,2.0,59.0,1.0,7.0,29.5,101000.0,87622.69,13377.309999999998,13.24
Binəqədi,6-cı Mikrorayon,2.0,58.0,5.0,5.0,29.0,136000.0,149260.72,13260.720000000001,9.75
Binəqədi,9-cu Mikrorayon,4.0,152.0,2.0,17.0,38.0,390000.0,403144.53,13144.530000000028,3.37
Sabunçu,Bakıxanov,3.0,90.0,2.0,4.0,30.0,235500.0,222359.65,13140.350000000006,5.58
Qaradağ,Lökbatan,2.0,54.0,2.0,6.0,27.0,72000.0,85084.18,13084.179999999993,18.17
Səbail,Bibiheybət,2.0,75.0,15.0,16.0,37.5,191500.0,178598.83,12901.170000000013,6.74
Qaradağ,Sahil,2.0,68.0,5.0,7.0,34.0,118000.0,105151.73,12848.270000000004,10.89
Nizami,8-ci Kilometr,2.0,35.0,1.0,5.0,17.5,109500.0,122340.08,12840.080000000002,11.73
Sabunçu,Savalan,2.0,80.0,5.0,5.0,40.0,102500.0,115295.55,12795.550000000003,12.48
Abşeron,Saray,2.0,74.0,5.0,5.0,37.0,105000.0,92218.47,12781.529999999999,12.17
Abşeron,Masazır,4.0,121.0,6.0,9.0,30.25,152000.0,164540.34,12540.339999999997,8.25
Binəqədi,7-ci Mikrorayon,2.0,50.0,8.0,17.0,25.0,132000.0,144526.0,12526.0,9.49
Binəqədi,9-cu Mikrorayon,4.0,162.0,8.0,9.0,40.5,390000.0,402515.26,12515.26000000001,3.21
Nizami,8-ci Kilometr,2.0,49.0,4.0,5.0,24.5,153500.0,140994.03,12505.970000000001,8.15
Binəqədi,9-cu Mikrorayon,2.0,47.0,3.0,5.0,23.5,154000.0,141634.72,12365.279999999999,8.03
Yasamal,Yasamal,3.0,72.0,1.0,19.0,24.0,242000.0,229859.89,12140.109999999986,5.02
Suraxanı,Zığ,2.0,50.0,3.0,9.0,25.0,70000.0,82105.13,12105.130000000005,17.29
Yasamal,Yasamal,2.0,72.0,7.0,19.0,36.0,230500.0,218528.85,11971.149999999994,5.19
Xəzər,Binə,4.0,89.0,3.0,3.0,22.25,126500.0,114558.19,11941.809999999998,9.44
Sabunçu,Ramana,4.0,108.0,2.0,4.0,27.0,147000.0,135121.44,11878.559999999998,8.08
Xəzər,Buzovna,3.0,110.0,4.0,5.0,36.666666666666664,170500.0,182288.77,11788.76999999999,6.91
Nəsimi,5-ci Mikrorayon,1.0,32.0,11.0,18.0,32.0,110000.0,121762.75,11762.75,10.69
Sabunçu,Bakıxanov,1.0,36.0,4.0,5.0,36.0,95000.0,106575.46,11575.460000000006,12.18
Qaradağ,Müşfiqabad,1.0,47.0,3.0,3.0,47.0,60000.0,71554.4,11554.399999999994,19.26
Suraxanı,Zığ,4.0,128.0,10.0,14.0,32.0,210000.0,198495.25,11504.75,5.48
Xətai,Köhnə Günəşli,2.0,61.0,6.0,9.0,30.5,136000.0,124504.46,11495.539999999994,8.45
Nizami,8-ci Kilometr,2.0,67.0,3.0,5.0,33.5,173000.0,184470.08,11470.079999999987,6.63
Nizami,8-ci Kilometr,3.0,123.0,4.0,5.0,41.0,320000.0,308575.58,11424.419999999984,3.57
